# RFC1213-MIB list of identifiers (generated by smidump 0.4.5)

# WARNING: this output may be incorrect due to significant parse errors

RFC1213-MIB DisplayString           type        
RFC1213-MIB PhysAddress             type        
RFC1213-MIB ipRouteEntry            row          1.3.6.1.2.1.4.21.1
RFC1213-MIB ipRouteDest             column       1.3.6.1.2.1.4.21.1.1
RFC1213-MIB ipRouteIfIndex          column       1.3.6.1.2.1.4.21.1.2
RFC1213-MIB ipRouteMetric1          column       1.3.6.1.2.1.4.21.1.3
RFC1213-MIB ipRouteMetric2          column       1.3.6.1.2.1.4.21.1.4
RFC1213-MIB ipRouteMetric3          column       1.3.6.1.2.1.4.21.1.5
RFC1213-MIB ipRouteMetric4          column       1.3.6.1.2.1.4.21.1.6
RFC1213-MIB ipRouteNextHop          column       1.3.6.1.2.1.4.21.1.7
RFC1213-MIB ipRouteType             column       1.3.6.1.2.1.4.21.1.8
RFC1213-MIB ipRouteProto            column       1.3.6.1.2.1.4.21.1.9
RFC1213-MIB ipRouteAge              column       1.3.6.1.2.1.4.21.1.10
RFC1213-MIB ipRouteMask             column       1.3.6.1.2.1.4.21.1.11
RFC1213-MIB ipRouteMetric5          column       1.3.6.1.2.1.4.21.1.12
RFC1213-MIB ipRouteInfo             column       1.3.6.1.2.1.4.21.1.13
RFC1213-MIB ipNetToMediaTable       table        1.3.6.1.2.1.4.22
RFC1213-MIB ipNetToMediaEntry       row          1.3.6.1.2.1.4.22.1
RFC1213-MIB ipNetToMediaIfIndex     column       1.3.6.1.2.1.4.22.1.1
RFC1213-MIB ipNetToMediaPhysAddress column       1.3.6.1.2.1.4.22.1.2
RFC1213-MIB ipNetToMediaNetAddress  column       1.3.6.1.2.1.4.22.1.3
RFC1213-MIB ipNetToMediaType        column       1.3.6.1.2.1.4.22.1.4
RFC1213-MIB ipRoutingDiscards       scalar       1.3.6.1.2.1.4.23
RFC1213-MIB icmp                    node         1.3.6.1.2.1.5
RFC1213-MIB icmpInMsgs              scalar       1.3.6.1.2.1.5.1
RFC1213-MIB icmpInErrors            scalar       1.3.6.1.2.1.5.2
RFC1213-MIB icmpInDestUnreachs      scalar       1.3.6.1.2.1.5.3
RFC1213-MIB icmpInTimeExcds         scalar       1.3.6.1.2.1.5.4
RFC1213-MIB icmpInParmProbs         scalar       1.3.6.1.2.1.5.5
RFC1213-MIB icmpInSrcQuenchs        scalar       1.3.6.1.2.1.5.6
RFC1213-MIB icmpInRedirects         scalar       1.3.6.1.2.1.5.7
RFC1213-MIB icmpInEchos             scalar       1.3.6.1.2.1.5.8
RFC1213-MIB icmpInEchoReps          scalar       1.3.6.1.2.1.5.9
RFC1213-MIB icmpInTimestamps        scalar       1.3.6.1.2.1.5.10
RFC1213-MIB icmpInTimestampReps     scalar       1.3.6.1.2.1.5.11
RFC1213-MIB icmpInAddrMasks         scalar       1.3.6.1.2.1.5.12
RFC1213-MIB icmpInAddrMaskReps      scalar       1.3.6.1.2.1.5.13
RFC1213-MIB icmpOutMsgs             scalar       1.3.6.1.2.1.5.14
RFC1213-MIB icmpOutErrors           scalar       1.3.6.1.2.1.5.15
RFC1213-MIB icmpOutDestUnreachs     scalar       1.3.6.1.2.1.5.16
RFC1213-MIB icmpOutTimeExcds        scalar       1.3.6.1.2.1.5.17
RFC1213-MIB icmpOutParmProbs        scalar       1.3.6.1.2.1.5.18
RFC1213-MIB icmpOutSrcQuenchs       scalar       1.3.6.1.2.1.5.19
RFC1213-MIB icmpOutRedirects        scalar       1.3.6.1.2.1.5.20
RFC1213-MIB icmpOutEchos            scalar       1.3.6.1.2.1.5.21
RFC1213-MIB icmpOutEchoReps         scalar       1.3.6.1.2.1.5.22
RFC1213-MIB icmpOutTimestamps       scalar       1.3.6.1.2.1.5.23
RFC1213-MIB icmpOutTimestampReps    scalar       1.3.6.1.2.1.5.24
RFC1213-MIB icmpOutAddrMasks        scalar       1.3.6.1.2.1.5.25
RFC1213-MIB icmpOutAddrMaskReps     scalar       1.3.6.1.2.1.5.26
RFC1213-MIB tcp                     node         1.3.6.1.2.1.6
RFC1213-MIB tcpRtoAlgorithm         scalar       1.3.6.1.2.1.6.1
RFC1213-MIB tcpRtoMin               scalar       1.3.6.1.2.1.6.2
RFC1213-MIB tcpRtoMax               scalar       1.3.6.1.2.1.6.3
RFC1213-MIB tcpMaxConn              scalar       1.3.6.1.2.1.6.4
RFC1213-MIB tcpActiveOpens          scalar       1.3.6.1.2.1.6.5
RFC1213-MIB tcpPassiveOpens         scalar       1.3.6.1.2.1.6.6
RFC1213-MIB tcpAttemptFails         scalar       1.3.6.1.2.1.6.7
RFC1213-MIB tcpEstabResets          scalar       1.3.6.1.2.1.6.8
RFC1213-MIB tcpCurrEstab            scalar       1.3.6.1.2.1.6.9
RFC1213-MIB tcpInSegs               scalar       1.3.6.1.2.1.6.10
RFC1213-MIB tcpOutSegs              scalar       1.3.6.1.2.1.6.11
RFC1213-MIB tcpRetransSegs          scalar       1.3.6.1.2.1.6.12
RFC1213-MIB tcpConnTable            table        1.3.6.1.2.1.6.13
RFC1213-MIB tcpConnEntry            row          1.3.6.1.2.1.6.13.1
RFC1213-MIB tcpConnState            column       1.3.6.1.2.1.6.13.1.1
RFC1213-MIB tcpConnLocalAddress     column       1.3.6.1.2.1.6.13.1.2
RFC1213-MIB tcpConnLocalPort        column       1.3.6.1.2.1.6.13.1.3
RFC1213-MIB tcpConnRemAddress       column       1.3.6.1.2.1.6.13.1.4
RFC1213-MIB tcpConnRemPort          column       1.3.6.1.2.1.6.13.1.5
RFC1213-MIB tcpInErrs               scalar       1.3.6.1.2.1.6.14
RFC1213-MIB tcpOutRsts              scalar       1.3.6.1.2.1.6.15
RFC1213-MIB udp                     node         1.3.6.1.2.1.7
RFC1213-MIB udpInDatagrams          scalar       1.3.6.1.2.1.7.1
RFC1213-MIB udpNoPorts              scalar       1.3.6.1.2.1.7.2
RFC1213-MIB udpInErrors             scalar       1.3.6.1.2.1.7.3
RFC1213-MIB udpOutDatagrams         scalar       1.3.6.1.2.1.7.4
RFC1213-MIB udpTable                table        1.3.6.1.2.1.7.5
RFC1213-MIB udpEntry                row          1.3.6.1.2.1.7.5.1
RFC1213-MIB udpLocalAddress         column       1.3.6.1.2.1.7.5.1.1
RFC1213-MIB udpLocalPort            column       1.3.6.1.2.1.7.5.1.2
RFC1213-MIB egp                     node         1.3.6.1.2.1.8
RFC1213-MIB egpInMsgs               scalar       1.3.6.1.2.1.8.1
RFC1213-MIB egpInErrors             scalar       1.3.6.1.2.1.8.2
RFC1213-MIB egpOutMsgs              scalar       1.3.6.1.2.1.8.3
RFC1213-MIB egpOutErrors            scalar       1.3.6.1.2.1.8.4
RFC1213-MIB egpNeighTable           table        1.3.6.1.2.1.8.5
RFC1213-MIB egpNeighEntry           row          1.3.6.1.2.1.8.5.1
RFC1213-MIB egpNeighState           column       1.3.6.1.2.1.8.5.1.1
RFC1213-MIB egpNeighAddr            column       1.3.6.1.2.1.8.5.1.2
RFC1213-MIB egpNeighAs              column       1.3.6.1.2.1.8.5.1.3
RFC1213-MIB egpNeighInMsgs          column       1.3.6.1.2.1.8.5.1.4
RFC1213-MIB egpNeighInErrs          column       1.3.6.1.2.1.8.5.1.5
RFC1213-MIB egpNeighOutMsgs         column       1.3.6.1.2.1.8.5.1.6
RFC1213-MIB egpNeighOutErrs         column       1.3.6.1.2.1.8.5.1.7
RFC1213-MIB egpNeighInErrMsgs       column       1.3.6.1.2.1.8.5.1.8
RFC1213-MIB egpNeighOutErrMsgs      column       1.3.6.1.2.1.8.5.1.9
RFC1213-MIB egpNeighStateUps        column       1.3.6.1.2.1.8.5.1.10
RFC1213-MIB egpNeighStateDowns      column       1.3.6.1.2.1.8.5.1.11
RFC1213-MIB egpNeighIntervalHello   column       1.3.6.1.2.1.8.5.1.12
RFC1213-MIB egpNeighIntervalPoll    column       1.3.6.1.2.1.8.5.1.13
RFC1213-MIB egpNeighMode            column       1.3.6.1.2.1.8.5.1.14
RFC1213-MIB egpNeighEventTrigger    column       1.3.6.1.2.1.8.5.1.15
RFC1213-MIB egpAs                   scalar       1.3.6.1.2.1.8.6
RFC1213-MIB transmission            node         1.3.6.1.2.1.10
RFC1213-MIB snmp                    node         1.3.6.1.2.1.11
RFC1213-MIB snmpInPkts              scalar       1.3.6.1.2.1.11.1
RFC1213-MIB snmpOutPkts             scalar       1.3.6.1.2.1.11.2
RFC1213-MIB snmpInBadVersions       scalar       1.3.6.1.2.1.11.3
RFC1213-MIB snmpInBadCommunityNames scalar       1.3.6.1.2.1.11.4
RFC1213-MIB snmpInBadCommunityUses  scalar       1.3.6.1.2.1.11.5
RFC1213-MIB snmpInASNParseErrs      scalar       1.3.6.1.2.1.11.6
RFC1213-MIB snmpInTooBigs           scalar       1.3.6.1.2.1.11.8
RFC1213-MIB snmpInNoSuchNames       scalar       1.3.6.1.2.1.11.9
RFC1213-MIB snmpInBadValues         scalar       1.3.6.1.2.1.11.10
RFC1213-MIB snmpInReadOnlys         scalar       1.3.6.1.2.1.11.11
RFC1213-MIB snmpInGenErrs           scalar       1.3.6.1.2.1.11.12
RFC1213-MIB snmpInTotalReqVars      scalar       1.3.6.1.2.1.11.13
RFC1213-MIB snmpInTotalSetVars      scalar       1.3.6.1.2.1.11.14
RFC1213-MIB snmpInGetRequests       scalar       1.3.6.1.2.1.11.15
RFC1213-MIB snmpInGetNexts          scalar       1.3.6.1.2.1.11.16
RFC1213-MIB snmpInSetRequests       scalar       1.3.6.1.2.1.11.17
RFC1213-MIB snmpInGetResponses      scalar       1.3.6.1.2.1.11.18
RFC1213-MIB snmpInTraps             scalar       1.3.6.1.2.1.11.19
RFC1213-MIB snmpOutTooBigs          scalar       1.3.6.1.2.1.11.20
RFC1213-MIB snmpOutNoSuchNames      scalar       1.3.6.1.2.1.11.21
RFC1213-MIB snmpOutBadValues        scalar       1.3.6.1.2.1.11.22
RFC1213-MIB snmpOutGenErrs          scalar       1.3.6.1.2.1.11.24
RFC1213-MIB snmpOutGetRequests      scalar       1.3.6.1.2.1.11.25
RFC1213-MIB snmpOutGetNexts         scalar       1.3.6.1.2.1.11.26
RFC1213-MIB snmpOutSetRequests      scalar       1.3.6.1.2.1.11.27
RFC1213-MIB snmpOutGetResponses     scalar       1.3.6.1.2.1.11.28
RFC1213-MIB snmpOutTraps            scalar       1.3.6.1.2.1.11.29
RFC1213-MIB snmpEnableAuthenTraps   scalar       1.3.6.1.2.1.11.30
# SNMPv2-MIB list of identifiers (generated by smidump 0.4.5)

SNMPv2-MIB system                         node         1.3.6.1.2.1.1
SNMPv2-MIB sysDescr                       scalar       1.3.6.1.2.1.1.1
SNMPv2-MIB sysObjectID                    scalar       1.3.6.1.2.1.1.2
SNMPv2-MIB sysUpTime                      scalar       1.3.6.1.2.1.1.3
SNMPv2-MIB sysContact                     scalar       1.3.6.1.2.1.1.4
SNMPv2-MIB sysName                        scalar       1.3.6.1.2.1.1.5
SNMPv2-MIB sysLocation                    scalar       1.3.6.1.2.1.1.6
SNMPv2-MIB sysServices                    scalar       1.3.6.1.2.1.1.7
SNMPv2-MIB sysORLastChange                scalar       1.3.6.1.2.1.1.8
SNMPv2-MIB sysORTable                     table        1.3.6.1.2.1.1.9
SNMPv2-MIB sysOREntry                     row          1.3.6.1.2.1.1.9.1
SNMPv2-MIB sysORIndex                     column       1.3.6.1.2.1.1.9.1.1
SNMPv2-MIB sysORID                        column       1.3.6.1.2.1.1.9.1.2
SNMPv2-MIB sysORDescr                     column       1.3.6.1.2.1.1.9.1.3
SNMPv2-MIB sysORUpTime                    column       1.3.6.1.2.1.1.9.1.4
SNMPv2-MIB snmp                           node         1.3.6.1.2.1.11
SNMPv2-MIB snmpInPkts                     scalar       1.3.6.1.2.1.11.1
SNMPv2-MIB snmpOutPkts                    scalar       1.3.6.1.2.1.11.2
SNMPv2-MIB snmpInBadVersions              scalar       1.3.6.1.2.1.11.3
SNMPv2-MIB snmpInBadCommunityNames        scalar       1.3.6.1.2.1.11.4
SNMPv2-MIB snmpInBadCommunityUses         scalar       1.3.6.1.2.1.11.5
SNMPv2-MIB snmpInASNParseErrs             scalar       1.3.6.1.2.1.11.6
SNMPv2-MIB snmpInTooBigs                  scalar       1.3.6.1.2.1.11.8
SNMPv2-MIB snmpInNoSuchNames              scalar       1.3.6.1.2.1.11.9
SNMPv2-MIB snmpInBadValues                scalar       1.3.6.1.2.1.11.10
SNMPv2-MIB snmpInReadOnlys                scalar       1.3.6.1.2.1.11.11
SNMPv2-MIB snmpInGenErrs                  scalar       1.3.6.1.2.1.11.12
SNMPv2-MIB snmpInTotalReqVars             scalar       1.3.6.1.2.1.11.13
SNMPv2-MIB snmpInTotalSetVars             scalar       1.3.6.1.2.1.11.14
SNMPv2-MIB snmpInGetRequests              scalar       1.3.6.1.2.1.11.15
SNMPv2-MIB snmpInGetNexts                 scalar       1.3.6.1.2.1.11.16
SNMPv2-MIB snmpInSetRequests              scalar       1.3.6.1.2.1.11.17
SNMPv2-MIB snmpInGetResponses             scalar       1.3.6.1.2.1.11.18
SNMPv2-MIB snmpInTraps                    scalar       1.3.6.1.2.1.11.19
SNMPv2-MIB snmpOutTooBigs                 scalar       1.3.6.1.2.1.11.20
SNMPv2-MIB snmpOutNoSuchNames             scalar       1.3.6.1.2.1.11.21
SNMPv2-MIB snmpOutBadValues               scalar       1.3.6.1.2.1.11.22
SNMPv2-MIB snmpOutGenErrs                 scalar       1.3.6.1.2.1.11.24
SNMPv2-MIB snmpOutGetRequests             scalar       1.3.6.1.2.1.11.25
SNMPv2-MIB snmpOutGetNexts                scalar       1.3.6.1.2.1.11.26
SNMPv2-MIB snmpOutSetRequests             scalar       1.3.6.1.2.1.11.27
SNMPv2-MIB snmpOutGetResponses            scalar       1.3.6.1.2.1.11.28
SNMPv2-MIB snmpOutTraps                   scalar       1.3.6.1.2.1.11.29
SNMPv2-MIB snmpEnableAuthenTraps          scalar       1.3.6.1.2.1.11.30
SNMPv2-MIB snmpSilentDrops                scalar       1.3.6.1.2.1.11.31
SNMPv2-MIB snmpProxyDrops                 scalar       1.3.6.1.2.1.11.32
SNMPv2-MIB snmpMIB                        node         1.3.6.1.6.3.1
SNMPv2-MIB snmpMIBObjects                 node         1.3.6.1.6.3.1.1
SNMPv2-MIB snmpTrap                       node         1.3.6.1.6.3.1.1.4
SNMPv2-MIB snmpTrapOID                    scalar       1.3.6.1.6.3.1.1.4.1
SNMPv2-MIB snmpTrapEnterprise             scalar       1.3.6.1.6.3.1.1.4.3
SNMPv2-MIB snmpTraps                      node         1.3.6.1.6.3.1.1.5
SNMPv2-MIB coldStart                      notification 1.3.6.1.6.3.1.1.5.1
SNMPv2-MIB warmStart                      notification 1.3.6.1.6.3.1.1.5.2
SNMPv2-MIB authenticationFailure          notification 1.3.6.1.6.3.1.1.5.5
SNMPv2-MIB snmpSet                        node         1.3.6.1.6.3.1.1.6
SNMPv2-MIB snmpSetSerialNo                scalar       1.3.6.1.6.3.1.1.6.1
SNMPv2-MIB snmpMIBConformance             node         1.3.6.1.6.3.1.2
SNMPv2-MIB snmpMIBCompliances             node         1.3.6.1.6.3.1.2.1
SNMPv2-MIB snmpMIBGroups                  node         1.3.6.1.6.3.1.2.2
# IF-MIB list of identifiers (generated by smidump 0.4.5)

IF-MIB OwnerString                  type        
IF-MIB InterfaceIndex               type        
IF-MIB InterfaceIndexOrZero         type        
IF-MIB interfaces                   node         1.3.6.1.2.1.2
IF-MIB ifNumber                     scalar       1.3.6.1.2.1.2.1
IF-MIB ifTable                      table        1.3.6.1.2.1.2.2
IF-MIB ifEntry                      row          1.3.6.1.2.1.2.2.1
IF-MIB ifIndex                      column       1.3.6.1.2.1.2.2.1.1
IF-MIB ifDescr                      column       1.3.6.1.2.1.2.2.1.2
IF-MIB ifType                       column       1.3.6.1.2.1.2.2.1.3
IF-MIB ifMtu                        column       1.3.6.1.2.1.2.2.1.4
IF-MIB ifSpeed                      column       1.3.6.1.2.1.2.2.1.5
IF-MIB ifPhysAddress                column       1.3.6.1.2.1.2.2.1.6
IF-MIB ifAdminStatus                column       1.3.6.1.2.1.2.2.1.7
IF-MIB ifOperStatus                 column       1.3.6.1.2.1.2.2.1.8
IF-MIB ifLastChange                 column       1.3.6.1.2.1.2.2.1.9
IF-MIB ifInOctets                   column       1.3.6.1.2.1.2.2.1.10
IF-MIB ifInUcastPkts                column       1.3.6.1.2.1.2.2.1.11
IF-MIB ifInNUcastPkts               column       1.3.6.1.2.1.2.2.1.12
IF-MIB ifInDiscards                 column       1.3.6.1.2.1.2.2.1.13
IF-MIB ifInErrors                   column       1.3.6.1.2.1.2.2.1.14
IF-MIB ifInUnknownProtos            column       1.3.6.1.2.1.2.2.1.15
IF-MIB ifOutOctets                  column       1.3.6.1.2.1.2.2.1.16
IF-MIB ifOutUcastPkts               column       1.3.6.1.2.1.2.2.1.17
IF-MIB ifOutNUcastPkts              column       1.3.6.1.2.1.2.2.1.18
IF-MIB ifOutDiscards                column       1.3.6.1.2.1.2.2.1.19
IF-MIB ifOutErrors                  column       1.3.6.1.2.1.2.2.1.20
IF-MIB ifOutQLen                    column       1.3.6.1.2.1.2.2.1.21
IF-MIB ifSpecific                   column       1.3.6.1.2.1.2.2.1.22
IF-MIB ifMIB                        node         1.3.6.1.2.1.31
IF-MIB ifMIBObjects                 node         1.3.6.1.2.1.31.1
IF-MIB ifXTable                     table        1.3.6.1.2.1.31.1.1
IF-MIB ifXEntry                     row          1.3.6.1.2.1.31.1.1.1
IF-MIB ifName                       column       1.3.6.1.2.1.31.1.1.1.1
IF-MIB ifInMulticastPkts            column       1.3.6.1.2.1.31.1.1.1.2
IF-MIB ifInBroadcastPkts            column       1.3.6.1.2.1.31.1.1.1.3
IF-MIB ifOutMulticastPkts           column       1.3.6.1.2.1.31.1.1.1.4
IF-MIB ifOutBroadcastPkts           column       1.3.6.1.2.1.31.1.1.1.5
IF-MIB ifHCInOctets                 column       1.3.6.1.2.1.31.1.1.1.6
IF-MIB ifHCInUcastPkts              column       1.3.6.1.2.1.31.1.1.1.7
IF-MIB ifHCInMulticastPkts          column       1.3.6.1.2.1.31.1.1.1.8
IF-MIB ifHCInBroadcastPkts          column       1.3.6.1.2.1.31.1.1.1.9
IF-MIB ifHCOutOctets                column       1.3.6.1.2.1.31.1.1.1.10
IF-MIB ifHCOutUcastPkts             column       1.3.6.1.2.1.31.1.1.1.11
IF-MIB ifHCOutMulticastPkts         column       1.3.6.1.2.1.31.1.1.1.12
IF-MIB ifHCOutBroadcastPkts         column       1.3.6.1.2.1.31.1.1.1.13
IF-MIB ifLinkUpDownTrapEnable       column       1.3.6.1.2.1.31.1.1.1.14
IF-MIB ifHighSpeed                  column       1.3.6.1.2.1.31.1.1.1.15
IF-MIB ifPromiscuousMode            column       1.3.6.1.2.1.31.1.1.1.16
IF-MIB ifConnectorPresent           column       1.3.6.1.2.1.31.1.1.1.17
IF-MIB ifAlias                      column       1.3.6.1.2.1.31.1.1.1.18
IF-MIB ifCounterDiscontinuityTime   column       1.3.6.1.2.1.31.1.1.1.19
IF-MIB ifStackTable                 table        1.3.6.1.2.1.31.1.2
IF-MIB ifStackEntry                 row          1.3.6.1.2.1.31.1.2.1
IF-MIB ifStackHigherLayer           column       1.3.6.1.2.1.31.1.2.1.1
IF-MIB ifStackLowerLayer            column       1.3.6.1.2.1.31.1.2.1.2
IF-MIB ifStackStatus                column       1.3.6.1.2.1.31.1.2.1.3
IF-MIB ifTestTable                  table        1.3.6.1.2.1.31.1.3
IF-MIB ifTestEntry                  row          1.3.6.1.2.1.31.1.3.1
IF-MIB ifTestId                     column       1.3.6.1.2.1.31.1.3.1.1
IF-MIB ifTestStatus                 column       1.3.6.1.2.1.31.1.3.1.2
IF-MIB ifTestType                   column       1.3.6.1.2.1.31.1.3.1.3
IF-MIB ifTestResult                 column       1.3.6.1.2.1.31.1.3.1.4
IF-MIB ifTestCode                   column       1.3.6.1.2.1.31.1.3.1.5
IF-MIB ifTestOwner                  column       1.3.6.1.2.1.31.1.3.1.6
IF-MIB ifRcvAddressTable            table        1.3.6.1.2.1.31.1.4
IF-MIB ifRcvAddressEntry            row          1.3.6.1.2.1.31.1.4.1
IF-MIB ifRcvAddressAddress          column       1.3.6.1.2.1.31.1.4.1.1
IF-MIB ifRcvAddressStatus           column       1.3.6.1.2.1.31.1.4.1.2
IF-MIB ifRcvAddressType             column       1.3.6.1.2.1.31.1.4.1.3
IF-MIB ifTableLastChange            scalar       1.3.6.1.2.1.31.1.5
IF-MIB ifStackLastChange            scalar       1.3.6.1.2.1.31.1.6
IF-MIB ifConformance                node         1.3.6.1.2.1.31.2
IF-MIB ifGroups                     node         1.3.6.1.2.1.31.2.1
IF-MIB ifCompliances                node         1.3.6.1.2.1.31.2.2
IF-MIB linkDown                     notification 1.3.6.1.6.3.1.1.5.3
IF-MIB linkUp                       notification 1.3.6.1.6.3.1.1.5.4
# IP-MIB list of identifiers (generated by smidump 0.4.5)

IP-MIB IpAddressOriginTC                   type        
IP-MIB IpAddressStatusTC                   type        
IP-MIB IpAddressPrefixOriginTC             type        
IP-MIB Ipv6AddressIfIdentifierTC           type        
IP-MIB ip                                  node         1.3.6.1.2.1.4
IP-MIB ipForwarding                        scalar       1.3.6.1.2.1.4.1
IP-MIB ipDefaultTTL                        scalar       1.3.6.1.2.1.4.2
IP-MIB ipInReceives                        scalar       1.3.6.1.2.1.4.3
IP-MIB ipInHdrErrors                       scalar       1.3.6.1.2.1.4.4
IP-MIB ipInAddrErrors                      scalar       1.3.6.1.2.1.4.5
IP-MIB ipForwDatagrams                     scalar       1.3.6.1.2.1.4.6
IP-MIB ipInUnknownProtos                   scalar       1.3.6.1.2.1.4.7
IP-MIB ipInDiscards                        scalar       1.3.6.1.2.1.4.8
IP-MIB ipInDelivers                        scalar       1.3.6.1.2.1.4.9
IP-MIB ipOutRequests                       scalar       1.3.6.1.2.1.4.10
IP-MIB ipOutDiscards                       scalar       1.3.6.1.2.1.4.11
IP-MIB ipOutNoRoutes                       scalar       1.3.6.1.2.1.4.12
IP-MIB ipReasmTimeout                      scalar       1.3.6.1.2.1.4.13
IP-MIB ipReasmReqds                        scalar       1.3.6.1.2.1.4.14
IP-MIB ipReasmOKs                          scalar       1.3.6.1.2.1.4.15
IP-MIB ipReasmFails                        scalar       1.3.6.1.2.1.4.16
IP-MIB ipFragOKs                           scalar       1.3.6.1.2.1.4.17
